"Toxicant","strain1","strain2","Relative.Potency.Estimate","SE","t.value","p.value","p...0.05"
"Paraquat","strainMY16","strainXZ1516",0.990922580677815,0.0520570587398068,-0.174374418031491,"0.861586","F"
"Paraquat","strainPD1074","strainRC301",1.08321399697353,0.0574629178588382,1.4481338587427,"0.147714","F"
"Paraquat","strainPD1074","strainXZ1516",1.05623028325276,0.0556696541865557,1.01007064035862,"0.312566","F"
"Paraquat","strainRC301","strainXZ1516",0.975089212476788,0.0520767517908962,-0.478347567130068,"0.632448","F"
"Silver nitrate","strainCB4856","strainECA248",0.883958219104364,0.040290996944279,-2.88009207258181,"0.003997","T"
"Silver nitrate","strainCB4856","strainECA36",0.977009990243212,0.0476605476530871,-0.482369819250269,"0.629569","F"
"Silver nitrate","strainCB4856","strainECA396",0.882558441730008,0.0414136612682863,-2.835816845779,"0.004594","T"
"Silver nitrate","strainCB4856","strainMY16",1.49619245262916,0.0654135201236956,7.58547241748905,"<< 0.00001","T"
"Silver nitrate","strainCB4856","strainPD1074",1.07454739456813,0.0483704376554139,1.54117676377461,"0.123352","F"
"Silver nitrate","strainCB4856","strainRC301",1.12320844322314,0.0534606951633686,2.30465471589234,"0.021236","T"
"Silver nitrate","strainCB4856","strainXZ1516",0.816905244826913,0.0379784228064229,-4.82102050699488,"0.000001","T"
"Silver nitrate","strainECA248","strainECA36",1.10526715983605,0.051807058296362,2.03190768396592,"0.042228","T"
"Silver nitrate","strainECA248","strainECA396",0.998416466588462,0.0447646725956854,-0.035374622882666,"0.971783","F"
"Silver nitrate","strainECA248","strainMY16",1.6926053972835,0.0706788729310094,9.79932713357728,"<< 0.00001","T"
"Silver nitrate","strainECA248","strainPD1074",1.21560880519543,0.052391593575923,4.11533206912245,"0.000039","T"
"Silver nitrate","strainECA248","strainRC301",1.27065784213329,0.0576560742717428,4.69435086505609,"0.000003","T"
"Silver nitrate","strainECA248","strainXZ1516",0.924144633956354,0.041099486994847,-1.84565238133401,"0.065016","F"
"Silver nitrate","strainECA36","strainECA396",0.903325913290108,0.043515053280153,-2.22162399957315,"0.026364","T"
"Silver nitrate","strainECA36","strainMY16",1.53139933835958,0.0689231599814751,7.71002575190128,"<< 0.00001","T"
"Silver nitrate","strainECA36","strainPD1074",1.09983255575579,0.0508923125601553,1.96164313888839,"0.049873","T"
"Silver nitrate","strainECA36","strainRC301",1.14963864693291,0.0561354981035434,2.66566881898682,"0.007714","T"
"Silver nitrate","strainECA36","strainXZ1516",0.83612783183881,0.0398649516564897,-4.11068272635201,"0.00004","T"
"Silver nitrate","strainECA396","strainMY16",1.69528994555453,0.0730080118743565,9.52347458455784,"<< 0.00001","T"
"Silver nitrate","strainECA396","strainPD1074",1.21753681542243,0.0540343163077454,4.02590113629777,"0.000058","T"
"Silver nitrate","strainECA396","strainRC301",1.27267316260825,0.0597284148439132,4.56521679540337,"0.000005","T"
"Silver nitrate","strainECA396","strainXZ1516",0.925610368901576,0.0424188123116524,-1.7536943408948,"0.079559","F"
"Silver nitrate","strainMY16","strainPD1074",0.718187952813091,0.0293156892120982,-9.61301114730773,"<< 0.00001","T"
"Silver nitrate","strainMY16","strainRC301",0.750711207805789,0.0329220483009657,-7.57209241403423,"<< 0.00001","T"
"Silver nitrate","strainMY16","strainXZ1516",0.54598941693057,0.0231751042738531,-19.5904440258187,"<< 0.00001","T"
"Silver nitrate","strainPD1074","strainRC301",1.04528515810563,0.0471858270220287,0.959719495527463,"0.337254","F"
"Silver nitrate","strainPD1074","strainXZ1516",0.76023193481869,0.0332922216803706,-7.20192444599393,"<< 0.00001","T"
"Silver nitrate","strainRC301","strainXZ1516",0.72729621091766,0.0338348857609832,-8.05984069249642,"<< 0.00001","T"
"Nickel chloride","strainCB4856","strainECA248",0.645632364841472,0.109258290220228,-3.24339356257764,"0.001195","T"
"Nickel chloride","strainCB4856","strainECA36",0.652368819819595,0.0774994528007473,-4.48559528638443,"0.000008","T"
"Nickel chloride","strainCB4856","strainECA396",0.880031705143329,0.0845836779509895,-1.41833859395644,"0.156201","F"
"Nickel chloride","strainCB4856","strainMY16",1.06390425757359,0.0976770446431271,0.654240285494581,"0.51301","F"
"Nickel chloride","strainCB4856","strainPD1074",0.625051861247144,0.0771305013907626,-4.86121744306152,"0.000001","T"
"Nickel chloride","strainCB4856","strainRC301",0.216385405000518,0.0260037533272139,-30.1346726812472,"<< 0.00001","T"
"Nickel chloride","strainCB4856","strainXZ1516",1.39787630190682,0.132063807058381,3.01275808087928,"0.002612","T"
"Nickel chloride","strainECA248","strainECA36",1.01043388675191,0.185231516327065,0.0563288956372075,"0.955084","F"
"Nickel chloride","strainECA248","strainECA396",1.36305388804263,0.232047146220404,1.56456950217262,"0.117794","F"
"Nickel chloride","strainECA248","strainMY16",1.64784839718315,0.280729742986471,2.30772981263467,"0.021085","T"
"Nickel chloride","strainECA248","strainPD1074",0.968123494553465,0.178493455267482,-0.178586410346339,"0.858275","F"
"Nickel chloride","strainECA248","strainRC301",0.33515266083919,0.0584836974424874,-11.3680797937685,"<< 0.00001","T"
"Nickel chloride","strainECA248","strainXZ1516",2.16512736664007,0.37716775884032,3.0891488981521,"0.002027","T"
"Nickel chloride","strainECA36","strainECA396",1.34897879605388,0.160068782913574,2.18018023065937,"0.029325","T"
"Nickel chloride","strainECA36","strainMY16",1.63083247581912,0.18712849470263,3.37111927727302,"0.000759","T"
"Nickel chloride","strainECA36","strainPD1074",0.958126511043239,0.135971396773896,-0.307958070228489,"0.758137","F"
"Nickel chloride","strainECA36","strainRC301",0.331691825891307,0.0465574211490637,-14.3544929597574,"<< 0.00001","T"
"Nickel chloride","strainECA36","strainXZ1516",2.14276994767068,0.249535994628982,4.57957958878753,"0.000005","T"
"Nickel chloride","strainECA396","strainMY16",1.20893855454936,0.109534439825563,1.90751470388768,"0.056554","F"
"Nickel chloride","strainECA396","strainPD1074",0.710260616286936,0.0879285808212627,-3.2951672938067,"0.000996","T"
"Nickel chloride","strainECA396","strainRC301",0.245883646845742,0.0301468626704711,-25.0147539860894,"<< 0.00001","T"
"Nickel chloride","strainECA396","strainXZ1516",1.58843856844811,0.146948882130091,4.00437594297026,"0.000064","T"
"Nickel chloride","strainMY16","strainPD1074",0.587507622793691,0.0714479909063078,-5.77332367186119,"<< 0.00001","T"
"Nickel chloride","strainMY16","strainRC301",0.203388043106456,0.0256261615237739,-31.0858868252474,"<< 0.00001","T"
"Nickel chloride","strainMY16","strainXZ1516",1.3139117471857,0.108081631640464,2.90439496907244,"0.003708","T"
"Nickel chloride","strainPD1074","strainRC301",0.346187922021018,0.0481498323593893,-13.5786989474635,"<< 0.00001","T"
"Nickel chloride","strainPD1074","strainXZ1516",2.23641650969199,0.278885218232132,4.43342432248542,"0.00001","T"
"Nickel chloride","strainRC301","strainXZ1516",6.46012286227655,0.866057654249578,6.30457202876134,"<< 0.00001","T"
"Zinc chloride","strainCB4856","strainECA248",0.889700824098492,0.0523267908679872,-2.10789108355176,"0.035142","T"
"Zinc chloride","strainCB4856","strainECA36",0.866269721126893,0.0517528302070893,-2.58401865826437,"0.009823","T"
"Zinc chloride","strainCB4856","strainECA396",1.13892544073026,0.0657916276218415,2.11159756570815,"0.034823","T"
